Start - 2025-01-20T13:49:12.795957305
Analyzed shard: /mnt/win10/Users/IEUser/init.bat; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/NTUSER.DAT{1c3790b4-b8ad-11e8-aa21-e41d2d101530}.TM.blf; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/.ansible_async/j338890133843.5368; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/.ansible_async/j43065490545.3952; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/.ansible_async/j583134429130.1872; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/.ansible_async/j65105297998.2884; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/.ansible_async/j845950117043.6036; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/.ansible_async/j947843830176.1060; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/.vbox_version; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/3D Objects/desktop.ini; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/ansible/inventory; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/ansible/playbook.yml; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/AppData; generation = -1; valid shard = false
[Error]	Could not read shard, IO exception: /mnt/win10/Users/IEUser/Application Data
[Error]	Could not read shard, IO exception: /mnt/win10/Users/IEUser/Application Data
Analyzed shard: /mnt/win10/Users/IEUser/Contacts/desktop.ini; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Contacts/IEUSER.CON; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Cookies; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/01F22128.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/0A8AE703.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/0BD4255D.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/43D8E93F.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/4465CDCE.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/4C7C1D2F.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/7934FE27.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/990423D0.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/9EF78656.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ACTION_O.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ADAPTIVE.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ADOPT000.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ADOPTING.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/AGENT_BA.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ANALYZIN.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ANOTHER/1724FEEB.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ANOTHER/2265BECF.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ANOTHER/2BC48EB7.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ANOTHER/32DED4B9.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ANOTHER/3C22462C.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ANOTHER/408D4B92.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ANOTHER/4357AB01.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ANOTHER/4636428E.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ANOTHER/4FCEC5A8.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ANOTHER/6A1F9D65.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ANOTHER/7F04C660.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ANOTHER/81998AB1.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ANOTHER/94435D7E.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ANOTHER/9F09BC54.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ANOTHER/A442EF09.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ANOTHER/A5CC7627.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ANOTHER/A7BAE86E.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ANOTHER/BF2955DB.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ANOTHER/D2603682.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ANOTHER/DE25D108.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ANOTHER/E0A5826D.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ANOTHER/EAEC1341.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ANOTHER/EFFE1AF8.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/AN_ATMOS.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/AN_OVERV.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/APPROACH.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ARCHITEC.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ATTACK_A.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/AUTHENTI.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/A_BLO000.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/A_BLOCKC.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/A_CASE_B.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/A_CLO000.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/A_CLOUD_.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/A_CLUSTE.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/A_COM000.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/A_COMPAR.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/A_DATAFL.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/A_DECISI.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/A_DISTRI.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/A_FLEXIB.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/A_FOCUS_.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/A_FRAMEW.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/A_GENERA.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/A_HYBRID.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/A_LEARNI.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/A_LIGHTW.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/A_LITERA.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/A_METHOD.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/A_MICROS.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/A_MIXED_.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/A_MULTI_.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/A_NOVEL_.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/A_PRACTI.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/A_SCALAB.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/A_SCIENC.PDF; generation = -1; valid shard = false
